1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
202012,24,261.62,40,69.49,99,1258.72,33,145.59,1,0.07,7,40.91,8,13.03,2,2.23,214,1791.66,20210217
202101,24,271.4,40,72.8,101,1188.11,33,147.96,1,0.07,7,43.39,8,14.08,2,2.18,216,1739.99,20210317
202102,24,288.79,40,76.44,101,1109.09,33,155.53,1,0.07,7,41.29,8,17.49,2,2.4,216,1691.1,20210415
202103,25,315.63,43,86.78,98,1153.31,33,166.82,1,0.07,7,35.53,8,17.22,2,2.93,217,1778.29,20210515
202104,25,324.39,43,93.28,98,1138.06,33,170.11,1,0.07,7,31.51,8,19.6,2,3.17,217,1780.19,20210617
202105,26,378.42,43,95.77,99,1183.32,33,157.63,1,0.08,7,25.89,8,15.33,2,3.04,219,1859.48,20210717
202106,27,409.29,44,112.33,99,1239.32,33,165.47,1,0.07,7,22.45,8,16.67,2,3.85,221,1969.45,20210817
202107,27,396.77,44,126.46,99,1239.08,33,150.83,1,0.06,6,17.44,8,13.33,2,4.43,220,1948.4,20211017
202108,28,427.39,45,127.18,97,1172.92,33,157.48,1,0.06,6,15.79,8,12.21,2,4.6,220,1917.63,20211017
202109,29,408.52,46,129.67,96,1223.37,33,152.25,1,0.06,6,13.92,8,10.84,2,4.71,221,1943.34,20211118
202110,29,452.61,46,135.01,93,1267.13,33,151.64,1,0.07,6,13.27,8,11.77,2,4.75,218,2036.25,20211218
202111,29,457.59,47,144.07,93,1274.21,33,149.84,1,0.06,6,10.87,8,10,2,4.85,219,2051.49,20220118
202112,31,492.48,47,153.1,93,1305.59,33,148.28,1,0.06,6,11.8,8,12.51,2,6.63,221,2130.45,20220218
202201,31,499.32,50,167.52,93,1290.25,33,153.19,1,0.06,6,10.84,8,12.79,2,7.15,224,2141.12,20220318
202202,32,544.42,50,185.23,93,1281.6,33,141.71,1,0.06,6,10.08,8,11.96,2,7.93,225,2182.99,20220418
202203,32,607.08,50,201.3,93,1313.92,33,135.67,1,0.06,6,9.35,8,14.21,2,8.32,225,2289.91,20220518
202204,33,622.08,50,181.98,93,1264.07,33,142.34,1,0.06,6,8.99,8,13.82,2,7.96,226,2241.3,20220618
202205,33,656.27,52,183.44,93,1198.63,33,148.3,1,0.06,6,8.07,8,14.7,2,8.09,214,2194.79,20220718
202206,33,634.46,53,178.82,91,1179.04,33,169.9,1,0.06,6,6.9,8,13.65,2,7.9,227,2190.73,20220818
202207,33,680.14,55,182.48,90,1222.04,33,120.17,1,0.04,6,6.43,8,14.02,2,8.52,228,2233.84,20220918
202208,35,718.05,56,177.11,90,1198.95,33,116.96,1,0.04,6,5.52,8,15.28,2,7.92,231,2239.83,20221018
202209,35,678.51,57,171.3,89,1128.43,33,117.83,1,0.04,6,5.7,8,17.8,2,7,231,2126.61,20221118
202210,36,709.16,57,171.53,89,1105.84,33,107.39,1,0,6,5.64,8,16.57,2,8.28,232,2124.41,20221218
202211,37,811.24,57,186.95,89,1191.99,33,135.88,1,0,6,6.25,8,17.74,2,8.56,233,2358.61,20230118
202212,37,789.95,57,182.15,88,1211.74,33,144.2,1,0,6,6.32,8,16.62,2,8.49,232,2359.46,20230218
202301,38,848.32,57,202.58,87,1284.84,33,127.53,1,0,6,6.13,8,14.94,2,9.52,232,2493.86,20230318
202302,39,887.03,57,194.39,86,1317.92,33,126.69,0,0,6,6,8,14.47,2,9.51,231,2556.01,20230418
